match,user_tip,algo_tip,actual_score,points_earned,status,match_id
Iraq vs Norway,0:3,0:2,1:4,8,completed,4d4f2b9b78182b557d4fbf8dcf4f4af2
Ivory Coast vs Norway,1:2,1:2,1:2,20,completed,ce017bea1a26252278053ce759e2416b
Japan vs Sweden,1:0,1:0,1:1,1,completed,0ed0233bddc4eafc8507f86a9c17b998
Jordan vs Algeria,0:1,0:1,1:2,8,completed,fd8533b650e655030f6a7946f8795db2
Jordan vs 🇦🇷 Argentina,0:4,0:2,1:3,5,completed,54697f453437ab26276d773be1d72e9b
Mexico vs Ecuador,2:1,4:2,2:0,12,completed,760491
Mexico vs South Africa,2:0,3:1,2:0,10,completed,760415
Mexico vs 🇰🇷 South Korea,1:1,1:0,1:0,1,completed,0f2aeae6ac8e77223848d23a4ca86b0d
Morocco vs Haiti,2:0,2:0,4:2,8,completed,d1279ce7f33136a33e99ad442fc855e8
Netherlands vs Morocco,2:1,2:1,1:1,2,completed,5a34afe2de99513ba48360b983cfe80c
New Zealand vs Egypt,1:2,0:1,1:3,6,completed,c1ec9a65f4b4cf74477b368a7d6282de
New Zealand vs 🇧🇪 Belgium,1:2,0:2,1:5,6,completed,581691da05dcd75b5c6d3be91ee9d2ab
Norway vs Senegal,1:0,1:0,3:2,8,completed,3f48473742ca0fd2a85930554720c75e
Norway vs 🇫🇷 France,1:2,0:1,1:4,6,completed,b86b4d60f773e9e3c46c00e9a6496e79
Panama vs Croatia,0:2,0:1,0:1,6,completed,c1bc8c26480cd42b89a0de5329581314
Panama vs 🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,0:3,0:2,0:2,6,completed,4be17c8e1ccfecb0f2a5ef79e045c415
Paraguay vs Australia,1:1,1:0,0:0,8,completed,22f6ac06dfcc88a847920f62633e6459
Portugal vs Croatia,2:1,1:0,2:1,20,completed,760496
Qatar vs Switzerland,0:2,0:2,1:1,0,completed,26634922d3f78c146440816023e40de8
Saudi Arabia vs Uruguay,0:2,0:2,1:1,0,completed,64b91c5f2db61c7358a4f05459e83c52
Scotland vs Morocco,0:2,0:1,0:1,6,completed,4cd769aa7bae0ad9762bd69b80ef2903
Scotland vs 🇧🇷 Brazil,0:2,0:2,0:3,6,completed,885ba95805db310a7bcc3fb1a7a6dd28
Senegal vs Iraq,3:0,2:0,5:0,6,completed,7e6aee294ea1a4792c59558791084528
South Africa vs Canada,1:2,1:2,0:1,16,completed,def55b09ef3d6854e3c01e74b5c63415
South Africa vs 🇰🇷 South Korea,0:1,0:1,1:0,0,completed,c0355dfc6e26ec327e379b6ef5824a5f
South Korea vs Czech Republic,1:0,4:3,2:1,8,completed,760414
Spain vs Austria,2:0,2:0,3:0,12,completed,760497
Sweden vs Tunisia,2:0,1:0,5:1,5,completed,b55f9569de3f4d731bc5537ff5ff43e4
Switzerland vs Algeria,2:1,1:0,2:0,12,completed,760498
Switzerland vs Bosnia & Herzegovina,3:1,1:0,4:1,6,completed,289bc2e9f5adad8ae4d9a75a7c5461ad
Switzerland vs Canada,2:1,1:0,2:1,10,completed,c9ef5822ee64fd5275f7c73251bb56c7
Tunisia vs Japan,0:2,0:1,0:4,6,completed,dfc5202cf1b8ae002cf952cd04f235b9
Tunisia vs 🇳🇱 Netherlands,0:3,0:1,1:3,6,completed,f3c4657daa143a0c5bd62cb370d01ce4
Turkey vs Paraguay,2:1,1:0,0:1,1,completed,f955d4b3395ce6e3b5ac1031ca52ca4e
Turkey vs 🇺🇸 USA,1:2,0:1,3:2,1,completed,f41aeac9a8343a84b4950f15ea25fba2
USA vs Bosnia & Herzegovina,2:0,2:1,2:0,20,completed,9eeb4876001f5a52ce3c3641bd5f1f2f
USA vs Paraguay,2:1,5:4,4:1,6,completed,760417
Uruguay vs Cape Verde,2:0,2:0,2:2,1,completed,852a3abe6d46820720febc0fedebff9a
Uruguay vs 🇪🇸 Spain,1:3,0:1,0:1,5,completed,dcff2e31c0bce001a4db5caaf4fa8822
Uzbekistan vs Colombia,1:3,0:2,1:3,10,completed,22083e7a8e5362c711bc05c1e1319a1f
🇦🇷 Argentina vs Algeria,2:1,2:0,3:0,5,completed,f31b2ee9e1cc6f7e641467f8237eaa21
🇦🇷 Argentina vs Austria,2:0,1:0,2:0,10,completed,be6c63f416c67bca1300a98f5b89c3af
🇧🇪 Belgium vs Egypt,2:1,1:0,1:1,1,completed,fbfb95c62003fd6d828b309f96ee1f9b
🇧🇪 Belgium vs 🇮🇷 Iran,2:0,1:0,0:0,1,completed,5f92f257386ec5bf7c6e2498a21f3a61
🇧🇷 Brazil vs Haiti,3:0,3:0,3:0,10,completed,ef0f74a991d3e35798ae5af77667bce1
🇧🇷 Brazil vs Morocco,2:1,1:0,1:1,1,completed,f6c8748a16516e0998f95de14235432a
🇨🇮 Ivory Coast vs Ecuador,1:1,0:1,1:0,1,completed,05752bb341e197001387b64f3a06b9b2
🇨🇿 Czech Republic vs Mexico,1:1,0:1,0:3,0,completed,5993bd5196ca09f83990f0c3261e442e
🇨🇿 Czech Republic vs South Africa,2:0,1:0,1:1,0,completed,66ebb9e3f949caded535d97ce686ca09
🇩🇪 Germany vs Curaçao,4:0,3:0,7:1,5,completed,d79edbd6aaeb578d33e313446b18d333
🇩🇪 Germany vs 🇨🇮 Ivory Coast,3:1,1:0,2:1,6,completed,f1ab0f69832972a329243522ceaa7804
🇪🇸 Spain vs Cape Verde,5:0,2:0,0:0,1,completed,c54f00b11925751d2b62988775c6c239
🇪🇸 Spain vs Saudi Arabia,3:1,2:0,4:0,5,completed,73529a242e319a86bf3d00ddb4accc37
🇫🇷 France vs Iraq,4:0,2:0,3:0,6,completed,7ad7a0ce2ef2618bb59b066da5642f70
🇫🇷 France vs Senegal,2:1,1:0,3:1,6,completed,73a4fcd14cc9766b9b9bfd50b8ca153a
🇮🇷 Iran vs New Zealand,2:1,1:0,2:2,1,completed,ec51b9c44ad5e34552f3ab53f7262813
🇳🇱 Netherlands vs Japan,1:2,1:0,2:2,1,completed,32ec06abda2398ac41501c86eb9aa376
🇳🇱 Netherlands vs Sweden,2:1,1:0,5:1,6,completed,4f0c518545b0096c68326daf25bffc1e
🇵🇹 Portugal vs DR Congo,3:0,2:0,1:1,0,completed,6cc871c121a1869b4612d3fb22fa9d55
🇵🇹 Portugal vs Uzbekistan,2:0,2:0,5:0,6,completed,8ba93d190f1f934e33862a97a6353a6e
🇺🇸 USA vs Australia,2:1,1:0,2:0,6,completed,065b3573e875f8d23803357f73e5b99e
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England vs Croatia,2:1,1:0,4:2,5,completed,689096c8cd7e2753b9fec95321943c5d
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England vs Ghana,2:0,2:0,0:0,1,completed,2f49dd8deae3079dc4eb2d634d18a99c
